dataset.id,melody.id,note.id,melody.name,distance,canseekey,canseedoor,agentbehindleft,agentbehindright,agentinfrontright,agentinfrontleft,agentleft,agentright,agentbehind,agentinfront,doorquad,keyquad,agentquad,agenty,agentx,orientation,action,vertint12,articulation,comma,voice,ornament,dyn,phrase,bioi,deltast,accidental,mpitch,cpitch,barlength,pulses,tempo,mode,keysig,dur,onset,cpitch.order.ltm.cpitch,cpitch.weight.ltm.cpitch,cpitch.probability,cpitch.information.content,cpitch.entropy,cpitch.54,cpitch.55,cpitch.56,cpitch.57,cpitch.58,cpitch.59,cpitch.60,cpitch.61,cpitch.62,cpitch.63,cpitch.64,cpitch.65,cpitch.66,cpitch.67,cpitch.68,cpitch.69,cpitch.70,cpitch.71,cpitch.72,cpitch.73,cpitch.74,cpitch.75,cpitch.76,cpitch.77,cpitch.79,cpitch.81,probability,information.content,entropy,information.gain,
3,1,1,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,1,1,0,0,38,65,48,2,NA,0,-1,24,0,0,1.0,0.13963147,2.840304,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.13963147,2.840304,3.7803416,NA,
3,1,2,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,24,0,0,36,62,48,2,NA,0,-1,24,24,0,1.0,0.08266286,3.596617,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.08266286,3.596617,3.7803416,0.0,
3,1,3,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,24,0,0,35,60,48,2,NA,0,-1,12,48,0,1.0,0.09499092,3.3960667,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.09499092,3.3960667,3.7803416,0.0,
3,1,4,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,35,60,48,2,NA,0,-1,12,60,0,1.0,0.09499092,3.3960667,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.09499092,3.3960667,3.7803416,0.0,
3,1,5,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,35,60,48,2,NA,0,-1,12,72,0,1.0,0.09499092,3.3960667,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.09499092,3.3960667,3.7803416,0.0,
3,1,6,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,35,60,48,2,NA,0,-1,12,84,0,1.0,0.09499092,3.3960667,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.09499092,3.3960667,3.7803416,0.0,
3,1,7,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,38,65,48,2,NA,0,-1,24,96,0,1.0,0.13963147,2.840304,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.13963147,2.840304,3.7803416,0.0,
3,1,8,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,24,0,0,38,65,48,2,NA,0,-1,12,120,0,1.0,0.13963147,2.840304,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.13963147,2.840304,3.7803416,0.0,
3,1,9,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,38,65,48,2,NA,0,-1,12,132,0,1.0,0.13963147,2.840304,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.13963147,2.840304,3.7803416,0.0,
3,1,10,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,40,69,48,2,NA,0,-1,12,144,0,1.0,0.1252271,2.9973814,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.1252271,2.9973814,3.7803416,0.0,
3,1,11,"nova001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,0,12,0,0,40,69,48,2,NA,0,-1,12,156,0,1.0,0.1252271,2.9973814,3.7803416,2.5953804e-4,0.0036335324,0.0012976901,0.0120685175,0.024396574,0.009473138,0.09499092,0.0045419154,0.08266286,0.029587336,0.06371658,0.13963147,0.020503502,0.15040228,0.012457825,0.1252271,0.049052685,0.02374773,0.08551778,0.0025953802,0.038930703,0.0060991435,0.0075266026,0.0101219835,0.0012976901,1.2976902e-4,0.1252271,2.9973814,3.7803416,0.0,
